City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
214,ridder,50.355,83.5133,5.07,56,75,1698195807,KZ,1698195807
215,tual,-5.6667,132.75,27.31,76,49,1698180290,ID,1698180290
216,rondonopolis,-16.4708,-54.6356,29.95,56,16,1698224670,BR,1698224670
217,ilomantsi,62.6716,30.9328,-0.73,69,7,1698210540,FI,1698210540
218,zarghun shahr,32.8473,68.4457,18.02,16,1,1698197849,AF,1698197849
219,kourou,5.1552,-52.6478,27.03,81,100,1698225334,GF,1698225334
220,cidade velha,14.9167,-23.6167,29.26,61,20,1698218875,CV,1698218875
221,palembang,-2.9167,104.7458,30.05,70,40,1698187151,ID,1698187151
222,muli,2.9167,73.5667,28.1,76,100,1698194928,MV,1698194928
223,minas de marcona,-15.2119,-75.1103,13.26,92,92,1698229653,PE,1698229653
224,mathba,22.2855,89.9629,27.68,75,71,1698192018,BD,1698192018
225,san juan nepomuceno,9.9516,-75.082,23.76,93,87,1698230966,CO,1698230966
226,horta,38.5333,-28.6333,21.12,93,75,1698221589,PT,1698221589
227,belyy yar,53.6039,91.3903,7.94,61,0,1698194337,RU,1698194337
228,emerald,-23.5333,148.1667,28.52,43,0,1698175601,AU,1698175601
229,ketchikan,55.3422,-131.6461,3.99,69,0,1698248197,US,1698248197
230,talnakh,69.4865,88.3972,-7.95,97,100,1698198963,RU,1698198963
231,ujae,8.9322,165.7642,28.71,80,78,1698173105,MH,1698173105
232,vila velha,-20.3297,-40.2925,27.19,81,0,1698221004,BR,1698221004
233,menton,43.7765,7.5044,23.01,69,72,1698213366,FR,1698213366
234,yuzhno-kurilsk,44.0306,145.8556,12.99,87,6,1698180156,RU,1698180156
235,sarupathar,26.1984,93.8094,22.2,93,78,1698191327,IN,1698191327
236,antsiranana,-12.2787,49.2917,29.99,58,99,1698199968,MG,1698199968
237,barah,13.7,30.3667,37.72,15,8,1698205852,SD,1698205852
238,hami,42.8,93.45,14.74,31,0,1698192631,CN,1698192631
239,labasa,-16.4167,179.3833,23.76,85,100,1698168530,FJ,1698168530
240,gasa,31.5,34.4667,29.93,42,4,1698205916,PS,1698205916
241,suoyarvi,62.0833,32.35,0.1,65,6,1698210059,RU,1698210059
242,tiksi,71.6872,128.8694,-19.47,100,17,1698190350,RU,1698190350
243,labytnangi,66.6572,66.4183,-8.31,88,84,1698203149,RU,1698203149
244,liwale,-9.7667,37.9333,30.78,49,100,1698202828,TZ,1698202828
245,kruisfontein,-34.0033,24.7314,22.06,44,5,1698204483,ZA,1698204483
246,tura,25.5198,90.2201,22.97,93,11,1698192147,IN,1698192147
247,dapa,9.7594,126.0531,28.22,78,100,1698182679,PH,1698182679
248,chibougamau,49.9168,-74.3659,6.79,100,100,1698233689,CA,1698233689
249,waynesboro,38.0685,-78.8895,11.24,81,0,1698233622,US,1698233622
250,yanchep,-31.55,115.6833,22.9,76,1,1698182855,AU,1698182855
251,newnham,-41.3833,147.1333,7.04,56,40,1698174497,AU,1698174497
252,punta arenas,-53.15,-70.9167,8.01,65,100,1698225328,CL,1698225328
253,ust'-kulom,61.6864,53.6902,-1.22,60,52,1698204836,RU,1698204836
254,kosh-agach,50.0,88.6667,0.17,47,53,1698194526,RU,1698194526
255,estrela,-28.0611,-50.9383,16.39,87,83,1698223064,BR,1698223064
256,bikaner,28.0167,73.3,33.08,19,1,1698196364,IN,1698196364
257,tucuma,-0.1833,-50.05,28.11,70,12,1698224437,BR,1698224437
258,tshabong,-26.05,22.45,33.93,5,0,1698205596,BW,1698205596
259,altamont,42.2068,-121.7372,7.09,73,100,1698244266,US,1698244266
260,bardai,11.65,7.2333,32.66,14,75,1698211297,NG,1698211297
261,nykobing sjaelland,55.9249,11.6711,9.57,89,100,1698213844,DK,1698213844
262,moranbah,-22.0016,148.0466,24.29,51,0,1698175723,AU,1698175723
